"fold","id","truth","response","precision_error"
7,72,6.5,6.3245,2.70000000000001
7,92,8.602,8.369746,2.70000000000001
7,109,7.444,7.243012,2.70000000000001
7,119,8.569,8.337637,2.7
7,125,5,4.865,2.7
8,4,7.959,7.744107,2.7
8,14,6.658,6.478234,2.7
8,25,7.921,7.707133,2.70000000000001
8,38,7.959,7.744107,2.7
8,42,7.328,7.130144,2.7
8,55,5,4.865,2.7
8,62,6,5.838,2.7
8,65,5,4.865,2.7
8,76,6.6,6.4218,2.70000000000001
8,85,7.824,7.612752,2.7
8,97,8.658,8.424234,2.70000000000001
8,100,7.163,6.969599,2.70000000000001
8,124,6.114,5.948922,2.7
9,10,8.119,7.899787,2.7
9,16,7.721,7.512533,2.70000000000001
9,19,8.114,7.894922,2.70000000000001
9,71,6.7,6.5191,2.7
9,81,7,6.811,2.7
9,89,7.208,7.013384,2.7
9,96,8.319,8.094387,2.7
9,104,7.959,7.744107,2.7
9,110,6,5.838,2.7
9,111,8.5,8.2705,2.7
9,113,8.237,8.014601,2.69999999999999
9,115,6.3,6.1299,2.70000000000001
10,1,7.699,7.491127,2.7
10,6,8.022,7.805406,2.70000000000001
10,15,7.638,7.431774,2.7
10,49,8.2,7.9786,2.7
10,52,6.558,6.380934,2.7
10,75,6.5,6.3245,2.70000000000001
10,80,7,6.811,2.7
10,84,7.174,6.980302,2.70000000000001
10,86,7.796,7.585508,2.7
10,101,8.102,7.883246,2.70000000000001
10,108,5.7,5.5461,2.7
10,117,6,5.838,2.7
10,122,5.602,5.450746,2.7
1,10,5,4.865,2.7
1,14,6.726,6.544398,2.7
1,34,8.091,7.872543,2.7
1,39,8.482,8.252986,2.69999999999999
1,50,7.018,6.828514,2.70000000000001
1,58,8.013,7.796649,2.70000000000001
1,61,6.936,6.748728,2.7
1,65,6.1,5.9353,2.7
1,66,5.8,5.6434,2.7
1,73,7.2,7.0056,2.7
1,76,6.5,6.3245,2.70000000000001
1,84,5,4.865,2.7
1,91,6.2,6.0326,2.7
1,92,8.7,8.4651,2.7
1,94,6,5.838,2.7
1,100,6.775,6.592075,2.7
1,113,6.6,6.4218,2.70000000000001
1,117,5.7,5.5461,2.7
1,119,5.7,5.5461,2.7
1,120,5.7,5.5461,2.7
1,155,7.252,7.056196,2.7
1,160,4.698,4.571154,2.70000000000001
1,161,7.959,7.744107,2.7
1,164,4.866,4.734618,2.70000000000001
1,165,7.8,7.5894,2.7
1,167,6.172,6.005356,2.7
1,186,7.06,6.86938,2.7
1,236,5.156,5.016788,2.70000000000001
1,239,5.987,5.825351,2.7
1,249,6.959,6.771107,2.7
1,255,6.387,6.214551,2.7
1,266,7.204,7.009492,2.7
1,272,7.194,6.999762,2.7
1,284,6.824,6.639752,2.7
1,287,7.056,6.865488,2.7
1,300,6.465,6.290445,2.7
1,306,8,7.784,2.7
1,312,7.276,7.079548,2.7
1,320,7.41,7.20993,2.7
1,332,7.131,6.938463,2.7
1,340,8.77,8.53321,2.70000000000001
1,342,6.5,6.3245,2.70000000000001
1,373,6.539,6.362447,2.7
1,392,8.699,8.464127,2.7
1,395,6.53,6.35369,2.7
1,396,5.884,5.725132,2.7
1,422,6.821,6.636833,2.70000000000001
1,449,8,7.784,2.7
1,450,6,5.838,2.7
1,459,6.2,6.0326,2.7
1,462,6,5.838,2.7
1,469,6.757,6.574561,2.70000000000001
1,474,5.9,5.7407,2.7
1,476,7.377,7.177821,2.7
1,480,6.979,6.790567,2.7
1,492,7.009,6.819757,2.7
1,495,7.639,7.432747,2.7
1,517,5.793,5.636589,2.70000000000001
1,523,5,4.865,2.7
1,524,6.412,6.238876,2.70000000000001
1,532,6.1,5.9353,2.7
1,534,5,4.865,2.7
1,558,5.205,5.064465,2.7
1,575,6,5.838,2.7
1,604,5,4.865,2.7
1,614,6.398,6.225254,2.7
1,633,7.854,7.641942,2.7
1,659,8.1,7.8813,2.7
1,683,7,6.811,2.7
1,697,6.256,6.087088,2.7
1,706,7.029,6.839217,2.7
1,707,5.817,5.659941,2.7
1,711,5.151,5.011923,2.70000000000001
1,723,5.3,5.1569,2.70000000000001
1,726,8.092,7.873516,2.7
1,742,5.526,5.376798,2.7
1,747,6.701,6.520073,2.70000000000001
1,756,6.512,6.336176,2.70000000000001
1,774,6.939,6.751647,2.7
1,775,5.301,5.157873,2.7
1,779,7.31,7.11263,2.7
1,783,5.8,5.6434,2.7
1,796,6.7,6.5191,2.7
1,801,6.3,6.1299,2.70000000000001
1,807,6.7,6.5191,2.7
1,838,6,5.838,2.7
1,852,7.6,7.3948,2.70000000000001
1,859,5.762,5.606426,2.70000000000001
1,867,7.129,6.936517,2.7
1,879,7.432,7.231336,2.70000000000001
1,885,6.243,6.074439,2.70000000000001
1,886,5.943,5.782539,2.7
1,913,6.004,5.841892,2.7
1,915,5.137,4.998301,2.7
1,934,6.523,6.346879,2.7
1,936,6.936,6.748728,2.7
1,940,6.04,5.87692,2.7
1,968,7.481,7.279013,2.7
1,969,7.824,7.612752,2.7
1,989,7.071,6.880083,2.7
1,990,6.308,6.137684,2.70000000000001
1,991,6.338,6.166874,2.7
1,1011,4.62,4.49526,2.7
1,1031,7.215,7.020195,2.70000000000001
1,1064,5.944,5.783512,2.7
1,1065,8.1,7.8813,2.7
1,1067,7.5,7.2975,2.70000000000001
1,1075,5,4.865,2.7
1,1077,7.8,7.5894,2.7
1,1083,6.77,6.58721,2.7
1,1099,6.296,6.126008,2.70000000000001
1,1118,5,4.865,2.7
1,1134,8.256,8.033088,2.70000000000001
1,1136,6.728,6.546344,2.7
1,1145,7.009,6.819757,2.7
1,1147,7.108,6.916084,2.7
1,1164,6.133,5.967409,2.7
1,1169,7.237,7.041601,2.7
1,1190,5.302,5.158846,2.7
1,1203,7.7,7.4921,2.70000000000001
1,1216,7.3,7.1029,2.7
1,1219,5,4.865,2.7
1,1228,4.793,4.663589,2.7
1,1232,5.3,5.1569,2.70000000000001
2,2,6.394,6.221362,2.7
2,3,5,4.865,2.7
2,7,5,4.865,2.7
2,41,7.886,7.673078,2.7
2,47,6.304,6.133792,2.70000000000001
2,64,6.5,6.3245,2.70000000000001
2,80,6.416,6.242768,2.70000000000001
2,82,6.311,6.140603,2.70000000000001
2,105,5,4.865,2.7
2,107,5.791,5.634643,2.7
2,109,5.7,5.5461,2.7
2,140,5.7,5.5461,2.7
2,141,5.7,5.5461,2.7
2,156,7.886,7.673078,2.7
2,157,7.745,7.535885,2.70000000000001
2,158,7.721,7.512533,2.70000000000001
2,166,8.4,8.1732,2.70000000000001
2,184,7.188,6.993924,2.7
2,201,6.7,6.5191,2.7
2,205,7.1,6.9083,2.7
2,214,6.463,6.288499,2.7
2,216,6.81,6.62613,2.7
2,245,5.637,5.484801,2.70000000000001
2,260,6.796,6.612508,2.7
2,263,5,4.865,2.7
2,276,6,5.838,2.7
2,295,6.833,6.648509,2.70000000000001
2,313,7.678,7.470694,2.7
2,319,7.58,7.37534,2.70000000000001
2,321,7.004,6.814892,2.7
2,325,6,5.838,2.7
2,329,5.183,5.043059,2.70000000000001
2,344,5.1,4.9623,2.69999999999999
2,349,7.1,6.9083,2.7
2,350,5.9,5.7407,2.7
2,386,5,4.865,2.7
2,393,7.167,6.973491,2.70000000000001
2,397,7.114,6.921922,2.70000000000001
2,405,6,5.838,2.7
2,417,5,4.865,2.7
2,420,5.7,5.5461,2.7
2,423,7.319,7.121387,2.70000000000001
2,429,5.8,5.6434,2.7
2,430,7.854,7.641942,2.7
2,440,6.747,6.564831,2.7
2,447,7.538,7.334474,2.7
2,448,6.301,6.130873,2.7
2,451,6,5.838,2.7
2,473,8,7.784,2.7
2,475,6.785,6.601805,2.70000000000001
2,499,7.068,6.877164,2.7
2,546,6.2,6.0326,2.7
2,552,5,4.865,2.7
2,553,6.212,6.044276,2.7
2,556,5.625,5.473125,2.70000000000001
2,566,5.633,5.480909,2.70000000000001
2,570,6.702,6.521046,2.7
2,577,6.7,6.5191,2.7
2,597,5.5,5.3515,2.70000000000001
2,600,5,4.865,2.7
2,625,6.398,6.225254,2.7
2,628,6.658,6.478234,2.7
2,647,8,7.784,2.7
2,649,7.8,7.5894,2.7
2,669,7.6,7.3948,2.70000000000001
2,678,5,4.865,2.7
2,681,7.7,7.4921,2.70000000000001
2,693,5.301,5.157873,2.7
2,710,6.1,5.9353,2.7
2,728,6.936,6.748728,2.7
2,735,5,4.865,2.7
2,740,6.328,6.157144,2.70000000000001
2,743,6.581,6.403313,2.70000000000001
2,745,5.801,5.644373,2.7
2,762,6.123,5.957679,2.70000000000001
2,781,6,5.838,2.7
2,782,5.8,5.6434,2.7
2,792,6.7,6.5191,2.7
2,833,8.1,7.8813,2.7
2,842,7.398,7.198254,2.7
2,846,8.1,7.8813,2.7
2,855,7.456,7.254688,2.70000000000001
2,861,5,4.865,2.7
2,862,7.495,7.292635,2.7
2,875,7.727,7.518371,2.7
2,888,6.82,6.63586,2.7
2,890,7.841,7.629293,2.70000000000001
2,897,6.382,6.209686,2.7
2,903,5.921,5.761133,2.7
2,931,6,5.838,2.7
2,938,7.921,7.707133,2.70000000000001
2,941,6.305,6.134765,2.7
2,981,7.161,6.967653,2.7
2,985,6.854,6.668942,2.70000000000001
2,995,6.851,6.666023,2.7
2,996,6.936,6.748728,2.7
2,997,6.65,6.47045,2.7
2,1042,5.4,5.2542,2.70000000000001
2,1054,7.2,7.0056,2.7
2,1092,6.167,6.000491,2.70000000000001
2,1097,7.3,7.1029,2.7
2,1098,6.728,6.546344,2.7
2,1105,5,4.865,2.7
2,1114,6.9,6.7137,2.7
2,1122,7.143,6.950139,2.7
2,1127,6.996,6.807108,2.7
2,1138,6.126,5.960598,2.7
2,1144,7.678,7.470694,2.7
2,1148,6.355,6.183415,2.7
2,1151,6.719,6.537587,2.7
2,1157,6.342,6.170766,2.7
2,1162,7.251,7.055223,2.70000000000001
2,1163,7.137,6.944301,2.7
2,1171,8.456,8.227688,2.70000000000001
2,1178,7.731,7.522263,2.7
2,1185,7.268,7.071764,2.7
2,1191,7.183,6.989059,2.70000000000001
2,1192,7.509,7.306257,2.7
2,1205,5.777,5.621021,2.70000000000001
2,1209,6.6,6.4218,2.70000000000001
2,1210,7.1,6.9083,2.7
2,1223,5.9,5.7407,2.7
2,1225,8,7.784,2.7
2,1238,6.709,6.527857,2.70000000000001
3,9,5,4.865,2.7
3,15,6.333,6.162009,2.7
3,16,5,4.865,2.7
3,18,5,4.865,2.7
3,32,7.097,6.905381,2.7
3,45,5.562,5.411826,2.7
3,60,7.244,7.048412,2.7
3,72,7.8,7.5894,2.7
3,78,6.652,6.472396,2.7
3,79,6.245,6.076385,2.7
3,83,5.794,5.637562,2.70000000000001
3,88,5,4.865,2.7
3,99,5.543,5.393339,2.7
3,106,5,4.865,2.7
3,110,6.4,6.2272,2.70000000000001
3,111,7.1,6.9083,2.7
3,121,6.1,5.9353,2.7
3,124,5.7,5.5461,2.7
3,135,6.01,5.84773,2.70000000000001
3,150,8.8,8.5624,2.70000000000001
3,163,7.796,7.585508,2.7
3,181,7.7,7.4921,2.70000000000001
3,183,8.244,8.021412,2.7
3,191,7.23,7.03479,2.7
3,202,6.4,6.2272,2.70000000000001
3,211,6.4,6.2272,2.70000000000001
3,212,5.2,5.0596,2.70000000000001
3,213,6.171,6.004383,2.70000000000001
3,217,5.754,5.598642,2.70000000000001
3,220,5.649,5.496477,2.70000000000001
3,235,7.137,6.944301,2.7
3,250,8.266,8.042818,2.69999999999999
3,270,6,5.838,2.7
3,281,5,4.865,2.7
3,294,6.334,6.162982,2.7
3,310,7.886,7.673078,2.7
3,322,7.102,6.910246,2.70000000000001
3,363,6.549,6.372177,2.7
3,370,5.967,5.805891,2.7
3,377,6.464,6.289472,2.70000000000001
3,378,5.74,5.58502,2.7
3,387,5,4.865,2.7
3,388,7.319,7.121387,2.70000000000001
3,389,7.092,6.900516,2.7
3,390,6.664,6.484072,2.7
3,394,5.943,5.782539,2.7
3,400,6.495,6.319635,2.7
3,403,7.229,7.033817,2.7
3,416,5.301,5.157873,2.7
3,418,6.9,6.7137,2.7
3,428,7.824,7.612752,2.7
3,444,6.1,5.9353,2.7
3,453,5.301,5.157873,2.7
3,457,6.3,6.1299,2.70000000000001
3,461,5.8,5.6434,2.7
3,482,9.222,8.973006,2.7
3,489,6.866,6.680618,2.7
3,493,7.394,7.194362,2.7
3,510,5,4.865,2.7
3,514,6.309,6.138657,2.7
3,515,6.164,5.997572,2.7
3,527,5.233,5.091709,2.7
3,530,5,4.865,2.7
3,540,7.886,7.673078,2.7
3,563,6.301,6.130873,2.7
3,565,5,4.865,2.7
3,578,6.8,6.6164,2.7
3,582,6.9,6.7137,2.7
3,583,5.6,5.4488,2.7
3,605,6.6,6.4218,2.70000000000001
3,626,7.523,7.319879,2.7
3,632,5.602,5.450746,2.7
3,654,5.9,5.7407,2.7
3,677,5.963,5.801999,2.7
3,682,7.9,7.6867,2.7
3,684,6.5,6.3245,2.70000000000001
3,694,5,4.865,2.7
3,716,6.602,6.423746,2.7
3,718,6.374,6.201902,2.7
3,744,5.395,5.249335,2.7
3,752,5.892,5.732916,2.7
3,757,6,5.838,2.7
3,790,6,5.838,2.7
3,805,5.83,5.67259,2.70000000000001
3,810,6.524,6.347852,2.70000000000001
3,854,6.5,6.3245,2.70000000000001
3,865,6.587,6.409151,2.7
3,871,5.51,5.36123,2.7
3,872,7.745,7.535885,2.70000000000001
3,877,7.051,6.860623,2.7
3,889,6.265,6.095845,2.7
3,902,5.76,5.60448,2.7
3,908,7.523,7.319879,2.7
3,925,8.31,8.08563,2.7
3,930,6.292,6.122116,2.7
3,939,5.495,5.346635,2.7
3,960,6.437,6.263201,2.7
3,970,7.658,7.451234,2.7
3,979,7.365,7.166145,2.7
3,980,6.706,6.524938,2.7
3,983,5.003,4.867919,2.70000000000001
3,986,5.343,5.198739,2.7
3,992,5.563,5.412799,2.7
3,1009,6.495,6.319635,2.7
3,1012,8.123,7.903679,2.7
3,1023,5.003,4.867919,2.70000000000001
3,1046,6.17,6.00341,2.7
3,1051,5.833,5.675509,2.7
3,1072,6.558,6.380934,2.7
3,1076,6.523,6.346879,2.7
3,1085,5,4.865,2.7
3,1093,5,4.865,2.7
3,1110,5,4.865,2.7
3,1119,5,4.865,2.7
3,1128,5.7,5.5461,2.7
3,1146,6.374,6.201902,2.7
3,1160,6.523,6.346879,2.7
3,1187,5,4.865,2.7
3,1195,5.264,5.121872,2.70000000000001
3,1199,7.157,6.963761,2.7
3,1200,5.779,5.622967,2.7
3,1218,6.7,6.5191,2.7
3,1220,6.4,6.2272,2.70000000000001
3,1233,5.1,4.9623,2.69999999999999
4,21,5.203,5.062519,2.70000000000001
4,51,6.184,6.017032,2.7
4,53,7.553,7.349069,2.7
4,54,6.52,6.34396,2.70000000000001
4,68,6.2,6.0326,2.7
4,95,6,5.838,2.7
4,96,7.189,6.994897,2.7
4,98,7.18,6.98614,2.7
4,108,6,5.838,2.7
4,125,7.06,6.86938,2.7
4,131,6.8,6.6164,2.7
4,132,7.018,6.828514,2.70000000000001
4,133,5.7,5.5461,2.7
4,148,6.316,6.145468,2.70000000000001
4,169,8.1,7.8813,2.7
4,171,8,7.784,2.7
4,176,7,6.811,2.7
4,178,7,6.811,2.7
4,193,8.391,8.164443,2.7
4,200,4.831,4.700563,2.69999999999999
4,206,6.5,6.3245,2.70000000000001
4,219,7.027,6.837271,2.7
4,222,6.075,5.910975,2.70000000000001
4,225,7.027,6.837271,2.7
4,233,5.936,5.775728,2.7
4,238,5.866,5.707618,2.70000000000001
4,252,6.738,6.556074,2.7
4,253,6.215,6.047195,2.70000000000001
4,265,5.877,5.718321,2.7
4,296,6.202,6.034546,2.7
4,302,5.8,5.6434,2.7
4,305,6.398,6.225254,2.7
4,315,8.495,8.265635,2.7
4,316,5.822,5.664806,2.70000000000001
4,324,7.56,7.35588,2.70000000000001
4,327,4.907,4.774511,2.70000000000001
4,331,6.128,5.962544,2.7
4,338,6.9,6.7137,2.7
4,347,5.26,5.11798,2.70000000000001
4,359,8.125,7.905625,2.7
4,366,6.678,6.497694,2.7
4,391,6.357,6.185361,2.7
4,421,5.3,5.1569,2.70000000000001
4,436,7.301,7.103873,2.7
4,441,7.523,7.319879,2.7
4,472,6.553,6.376069,2.7
4,498,5,4.865,2.7
4,500,5.963,5.801999,2.7
4,509,5.248,5.106304,2.70000000000001
4,531,5,4.865,2.7
4,548,5.8,5.6434,2.7
4,573,6,5.838,2.7
4,596,5.1,4.9623,2.69999999999999
4,601,7.4,7.2002,2.7
4,603,6.4,6.2272,2.70000000000001
4,613,5,4.865,2.7
4,631,7.658,7.451234,2.7
4,636,7.155,6.961815,2.70000000000001
4,645,8,7.784,2.7
4,662,6,5.838,2.7
4,675,6.1,5.9353,2.7
4,676,7.9,7.6867,2.7
4,680,8.4,8.1732,2.70000000000001
4,686,6.603,6.424719,2.7
4,691,5.597,5.445881,2.70000000000001
4,702,5.343,5.198739,2.7
4,704,7.569,7.364637,2.7
4,721,6.697,6.516181,2.70000000000001
4,724,5.906,5.746538,2.70000000000001
4,731,8.42,8.19266,2.7
4,748,6.936,6.748728,2.7
4,755,5.833,5.675509,2.7
4,763,5.8,5.6434,2.7
4,766,5.201,5.060573,2.7
4,772,5.8,5.6434,2.7
4,789,7.904,7.690592,2.7
4,793,6.7,6.5191,2.7
4,794,7.5,7.2975,2.70000000000001
4,803,5.5,5.3515,2.70000000000001
4,818,6.523,6.346879,2.7
4,820,7.076,6.884948,2.7
4,830,6.72,6.53856,2.7
4,837,7.111,6.919003,2.7
4,891,4.301,4.184873,2.70000000000001
4,904,4.886,4.754078,2.70000000000001
4,907,5.569,5.418637,2.70000000000001
4,918,4.736,4.608128,2.7
4,919,6,5.838,2.7
4,927,4.921,4.788133,2.7
4,928,4.585,4.461205,2.70000000000001
4,952,6.223,6.054979,2.70000000000001
4,955,6.253,6.084169,2.7
4,961,7.553,7.349069,2.7
4,973,6.903,6.716619,2.7
4,976,6,5.838,2.7
4,987,5.7,5.5461,2.7
4,1000,5.653,5.500369,2.70000000000001
4,1003,4.602,4.477746,2.70000000000001
4,1005,6.041,5.877893,2.7
4,1018,6.447,6.272931,2.7
4,1022,5.003,4.867919,2.70000000000001
4,1024,6.446,6.271958,2.7
4,1030,7.6,7.3948,2.70000000000001
4,1036,6.7,6.5191,2.7
4,1052,7.4,7.2002,2.7
4,1058,6.3,6.1299,2.70000000000001
4,1063,7.3,7.1029,2.7
4,1071,6.8,6.6164,2.7
4,1079,5.509,5.360257,2.70000000000001
4,1091,5,4.865,2.7
4,1094,5.583,5.432259,2.7
4,1112,5.607,5.455611,2.7
4,1115,6.126,5.960598,2.7
4,1132,6.001,5.838973,2.7
4,1141,5.518,5.369014,2.7
4,1158,5,4.865,2.7
4,1173,8.8,8.5624,2.70000000000001
4,1180,7.506,7.303338,2.7
4,1183,5.613,5.461449,2.70000000000001
4,1196,6.724,6.542452,2.7
4,1207,6.5,6.3245,2.70000000000001
4,1212,6.5,6.3245,2.70000000000001
4,1214,6.4,6.2272,2.70000000000001
5,8,7.027,6.837271,2.7
5,23,6.928,6.740944,2.7
5,24,6.386,6.213578,2.7
5,30,5.395,5.249335,2.7
5,33,8.9,8.6597,2.69999999999999
5,35,5.886,5.727078,2.70000000000001
5,43,5.976,5.814648,2.7
5,46,6.745,6.562885,2.70000000000001
5,74,7,6.811,2.7
5,103,5.6,5.4488,2.7
5,123,5.7,5.5461,2.7
5,127,6,5.838,2.7
5,136,5.7,5.5461,2.7
5,138,5.7,5.5461,2.7
5,139,5.9,5.7407,2.7
5,143,5.7,5.5461,2.7
5,147,8,7.784,2.7
5,154,8.276,8.052548,2.7
5,172,7.7,7.4921,2.70000000000001
5,182,7.419,7.218687,2.70000000000001
5,192,5.5,5.3515,2.70000000000001
5,195,6,5.838,2.7
5,196,7.541,7.337393,2.7
5,204,5.9,5.7407,2.7
5,221,5.545,5.395285,2.70000000000001
5,226,7.886,7.673078,2.7
5,246,5.414,5.267822,2.7
5,264,6.721,6.539533,2.70000000000001
5,271,6.088,5.923624,2.7
5,273,5,4.865,2.7
5,277,7,6.811,2.7
5,278,6.658,6.478234,2.7
5,309,5.7,5.5461,2.7
5,333,5.906,5.746538,2.70000000000001
5,341,7.42,7.21966,2.7
5,353,5.1,4.9623,2.69999999999999
5,357,6.1,5.9353,2.7
5,358,7.824,7.612752,2.7
5,419,6.7,6.5191,2.7
5,424,7.208,7.013384,2.7
5,431,5.7,5.5461,2.7
5,471,6.37,6.19801,2.7
5,481,9.222,8.973006,2.7
5,490,6.203,6.035519,2.70000000000001
5,496,5.683,5.529559,2.7
5,505,6.029,5.866217,2.7
5,507,5.647,5.494531,2.7
5,521,6.338,6.166874,2.7
5,528,5.796,5.639508,2.7
5,529,6.405,6.232065,2.7
5,567,6.383,6.210659,2.7
5,572,5.276,5.133548,2.70000000000001
5,584,6.6,6.4218,2.70000000000001
5,586,6.7,6.5191,2.7
5,594,5.8,5.6434,2.7
5,609,6.1,5.9353,2.7
5,612,7.699,7.491127,2.7
5,640,6.457,6.282661,2.7
5,655,8,7.784,2.7
5,670,6,5.838,2.7
5,689,6.9,6.7137,2.7
5,692,6.4,6.2272,2.70000000000001
5,695,6.605,6.426665,2.70000000000001
5,698,6.9,6.7137,2.7
5,701,5.603,5.451719,2.7
5,705,6.699,6.518127,2.7
5,720,6.355,6.183415,2.7
5,729,5.3,5.1569,2.70000000000001
5,760,6.544,6.367312,2.70000000000001
5,765,6.078,5.913894,2.7
5,770,5.9,5.7407,2.7
5,780,5.8,5.6434,2.7
5,808,7.4,7.2002,2.7
5,815,5.886,5.727078,2.70000000000001
5,823,5.882,5.723186,2.70000000000001
5,834,7.1,6.9083,2.7
5,835,7.8,7.5894,2.7
5,836,8.322,8.097306,2.69999999999999
5,845,6.4,6.2272,2.70000000000001
5,848,6.387,6.214551,2.7
5,850,5.4,5.2542,2.70000000000001
5,851,7,6.811,2.7
5,856,6.3,6.1299,2.70000000000001
5,860,8.56,8.32888,2.70000000000001
5,870,5.003,4.867919,2.70000000000001
5,887,7.854,7.641942,2.7
5,899,5.62,5.46826,2.7
5,912,4.796,4.666508,2.7
5,916,5.553,5.403069,2.70000000000001
5,932,5.187,5.046951,2.70000000000001
5,954,6.5,6.3245,2.70000000000001
5,958,5.003,4.867919,2.70000000000001
5,966,5.003,4.867919,2.70000000000001
5,993,5.956,5.795188,2.7
5,998,7.161,6.967653,2.7
5,999,8.26,8.03698,2.7
5,1002,8.01,7.79373,2.70000000000001
5,1016,7.745,7.535885,2.70000000000001
5,1020,6.8,6.6164,2.7
5,1034,7.1,6.9083,2.7
5,1041,7.5,7.2975,2.70000000000001
5,1044,7.4,7.2002,2.7
5,1055,7.5,7.2975,2.70000000000001
5,1059,7,6.811,2.7
5,1080,6.783,6.599859,2.7
5,1082,6.959,6.771107,2.7
5,1084,7.509,7.306257,2.7
5,1089,5,4.865,2.7
5,1111,7.027,6.837271,2.7
5,1113,6.573,6.395529,2.70000000000001
5,1117,5,4.865,2.7
5,1129,5.481,5.333013,2.70000000000001
5,1130,6.585,6.407205,2.70000000000001
5,1139,7.081,6.889813,2.7
5,1142,7,6.811,2.7
5,1143,6.234,6.065682,2.7
5,1156,5,4.865,2.7
5,1177,6.3,6.1299,2.70000000000001
5,1197,5.568,5.417664,2.7
5,1198,6.548,6.371204,2.70000000000001
5,1201,5.796,5.639508,2.7
5,1202,5.485,5.336905,2.70000000000001
5,1213,5.568,5.417664,2.7
5,1235,5.1,4.9623,2.69999999999999
6,1,8.868,8.628564,2.69999999999999
6,6,9.348,9.095604,2.70000000000001
6,19,5.62,5.46826,2.7
6,31,5.872,5.713456,2.7
6,36,5.4,5.2542,2.70000000000001
6,44,9.058,8.813434,2.70000000000001
6,55,6.613,6.434449,2.70000000000001
6,57,6.726,6.544398,2.7
6,59,7.143,6.950139,2.7
6,67,5.7,5.5461,2.7
6,69,6.1,5.9353,2.7
6,86,5.751,5.595723,2.7
6,102,5.435,5.288255,2.7
6,114,6.221,6.053033,2.7
6,118,5.8,5.6434,2.7
6,122,5.7,5.5461,2.7
6,159,7.357,7.158361,2.7
6,179,8.3,8.0759,2.7
6,203,6.3,6.1299,2.70000000000001
6,207,5,4.865,2.7
6,208,6.8,6.6164,2.7
6,210,6.1,5.9353,2.7
6,242,5.328,5.184144,2.70000000000001
6,258,7.523,7.319879,2.7
6,269,5,4.865,2.7
6,286,5,4.865,2.7
6,291,6.509,6.333257,2.7
6,293,6.538,6.361474,2.7
6,298,6.561,6.383853,2.7
6,299,6.479,6.304067,2.7
6,311,5.9,5.7407,2.7
6,314,7.229,7.033817,2.7
6,326,9.453,9.197769,2.7
6,335,9,8.757,2.7
6,345,5.9,5.7407,2.7
6,398,8.699,8.464127,2.7
