target_id,dataset_id_rdkit,dataset_id,n_rows,pref_name,organism
CHEMBL1293289,511,30682,74,Bromodomain-containing protein 2,Homo sapiens
CHEMBL1293292,513,30687,40,ATP-sensitive inward rectifier potassium channel 1,Homo sapiens
CHEMBL1293293,514,30761,348,Neuropeptides B/W receptor type 1,Homo sapiens
CHEMBL1293296,516,30695,54,14-3-3 protein gamma,Homo sapiens
CHEMBL1293297,517,30699,69,Bifunctional protein glmU,Mycobacterium tuberculosis
CHEMBL1293302,521,30689,77,Female germline-specific tumor suppressor gld-1,Caenorhabditis elegans
CHEMBL1293303,522,30717,130,Nonstructural protein 1,Influenza A virus
CHEMBL1293304,523,30836,696,Cytoplasmic zinc-finger protein,Caenorhabditis elegans
CHEMBL1293305,524,30703,92,Genome polyprotein,Hepatitis C virus
CHEMBL1293307,525,30710,101,3C-like protease,Infectious bronchitis virus
CHEMBL1293311,527,30764,368,Envelope glycoprotein gp160,Human immunodeficiency virus 1
CHEMBL1293312,528,30832,639,M1-family aminopeptidase,Plasmodium falciparum 3D7
CHEMBL1293313,529,30852,806,M17 leucyl aminopeptidase,Plasmodium falciparum 3D7
CHEMBL1293314,530,30698,42,Ubiquitin carboxyl-terminal hydrolase BAP1,Homo sapiens
CHEMBL1293319,533,30845,833,Zinc finger protein mex-5,Caenorhabditis elegans
CHEMBL1615381,535,30702,36,Menin,Homo sapiens
CHEMBL1615382,536,30756,240,Nuclear receptor coactivator 3,Homo sapiens
CHEMBL1615387,539,30755,241,Nuclear receptor coactivator 1,Homo sapiens
CHEMBL1628470,545,30711,72,Transient receptor potential cation channel subfamily M member 6,Homo sapiens
CHEMBL1628481,552,30722,91,Apelin receptor,Homo sapiens
CHEMBL1641347,563,30730,52,Solute carrier family 22 member 6,Homo sapiens
CHEMBL1641348,564,30729,37,Solute carrier family 22 member 8,Homo sapiens
CHEMBL1641361,572,30716,56,ATP-binding cassette sub-family A member 1,Mus musculus
CHEMBL1649054,578,30721,45,Peptide deformylase,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228)
CHEMBL1649055,579,30714,38,Carbonic anhydrase,Stylophora pistillata
CHEMBL1649059,581,30719,73,Serine/threonine-protein kinase VRK2,Homo sapiens
CHEMBL1667665,583,30739,112,Transient receptor potential M8 protein,Canis familiaris
CHEMBL1671613,648,30754,75,Type-1 angiotensin II receptor,Cavia porcellus
CHEMBL1681620,656,30740,41,Dihydrofolate reductase,Staphylococcus aureus
CHEMBL1681621,657,30744,51,Cyclic nucleotide specific phosphodiesterase,Trypanosoma cruzi
CHEMBL1697668,675,30746,38,Solute carrier organic anion transporter family member 1B1,Homo sapiens
CHEMBL1697671,678,30741,39,Placenta growth factor,Homo sapiens
CHEMBL1697672,679,30747,42,Falcipain 2,Plasmodium falciparum
CHEMBL1741162,683,30757,180,Phosphomannomutase 2,Homo sapiens
CHEMBL1741164,684,30750,38,Perilipin-1,Homo sapiens
CHEMBL1741171,686,31065,1875,Protein RecA,Mycobacterium tuberculosis
CHEMBL1741172,687,30752,99,60S ribosomal protein L19-A,Saccharomyces cerevisiae S288c
CHEMBL1741173,688,30758,167,Glucose-6-phosphate 1-dehydrogenase,Leuconostoc mesenteroides
CHEMBL1741176,691,30874,940,X-box-binding protein 1,Homo sapiens
CHEMBL1741179,693,30861,826,Probable DNA dC->dU-editing enzyme APOBEC-3A,Homo sapiens
CHEMBL1741180,694,30856,754,Mitochondrial import inner membrane translocase subunit TIM23,Saccharomyces cerevisiae S288c
CHEMBL1741186,696,30767,184,Nuclear receptor ROR-gamma,Homo sapiens
CHEMBL1741194,697,30885,1088,Mitochondrial import inner membrane translocase subunit TIM10,Saccharomyces cerevisiae S288c
CHEMBL1741200,698,30812,437,Putative hexokinase HKDC1,Homo sapiens
CHEMBL1741201,699,30759,191,Hexokinase,Trypanosoma brucei brucei (strain 927/4 GUTat10.1)
CHEMBL1741207,700,30886,1071,Sentrin-specific protease 8,Homo sapiens
CHEMBL1741208,701,30763,69,"NACHT, LRR and PYD domains-containing protein 3",Homo sapiens
CHEMBL1741212,702,30842,586,Glucose-6-phosphate dehydrogenase-6-phosphogluconolactonase,Plasmodium berghei
CHEMBL1741213,703,30883,993,Sentrin-specific protease 7,Homo sapiens
CHEMBL1741214,704,30762,41,"NACHT, LRR and PYD domains-containing protein 1",Homo sapiens
CHEMBL1741215,705,30882,993,Sentrin-specific protease 6,Homo sapiens
CHEMBL1741217,707,30873,1001,DNA dC->dU-editing enzyme APOBEC-3G,Homo sapiens
CHEMBL1741221,708,30804,330,Cysteine protease ATG4B,Homo sapiens
CHEMBL1743122,712,30776,63,Solute carrier family 22 member 2,Homo sapiens
CHEMBL1743125,715,30778,46,Solute carrier family 15 member 2,Homo sapiens
CHEMBL1743126,716,30774,47,Multidrug and toxin extrusion protein 1,Homo sapiens
CHEMBL1743127,717,30773,31,Multidrug and toxin extrusion protein 2,Homo sapiens
CHEMBL1744522,765,30775,37,Endothelial PAS domain-containing protein 1,Homo sapiens
CHEMBL1744525,768,30781,56,Nicotinamide phosphoribosyltransferase,Homo sapiens
CHEMBL1770032,774,30779,35,Solute carrier family 22 member 2,Rattus norvegicus
CHEMBL1770034,776,30780,76,Phosphatidylinositol-5-phosphate 4-kinase type-2 gamma,Homo sapiens
CHEMBL1770046,785,30785,65,P2Y purinoceptor 14,Mus musculus
CHEMBL1770047,786,30783,30,Low affinity sodium-glucose cotransporter,Homo sapiens
CHEMBL1772929,789,30786,53,HTH-type transcriptional regulator EthR,Mycobacterium tuberculosis
CHEMBL1781,795,30833,376,DNA topoisomerase I,Homo sapiens
CHEMBL1781858,797,30792,71,Casein kinase I isoform alpha,Sus scrofa
CHEMBL1781859,798,30790,44,Solute carrier organic anion transporter family member 1A1,Rattus norvegicus
CHEMBL1781862,801,30795,88,Calmodulin-domain protein kinase 1,Toxoplasma gondii
CHEMBL1782,807,30801,193,Farnesyl diphosphate synthase,Homo sapiens
CHEMBL1783,808,30794,35,Vascular endothelial growth factor A,Homo sapiens
CHEMBL1784,809,30802,213,Glucagon-like peptide 1 receptor,Homo sapiens
CHEMBL1785,810,30941,1171,Endothelin receptor ET-B,Homo sapiens
CHEMBL1787,812,30843,422,Steroid 5-alpha-reductase 1,Homo sapiens
CHEMBL1790,813,30865,692,Vasopressin V2 receptor,Homo sapiens
CHEMBL1791,814,30799,42,Amiloride-sensitive sodium channel alpha-subunit,Homo sapiens
CHEMBL1792,815,30868,740,Somatostatin receptor 5,Homo sapiens
CHEMBL1793,816,30800,41,Parathyroid hormone receptor,Homo sapiens
CHEMBL1795091,818,30798,41,Regulator of G-protein signaling 4,Homo sapiens
CHEMBL1795093,819,30855,636,Apoptotic protease-activating factor 1,Homo sapiens
CHEMBL1795094,820,30844,436,Nuclear receptor subfamily 0 group B member 1,Homo sapiens
CHEMBL1795096,822,30846,465,mRNA interferase MazF,Escherichia coli K-12
CHEMBL1795098,823,30899,1010,Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1,Homo sapiens
CHEMBL1795101,824,30810,188,Peptide deformylase,Escherichia coli
CHEMBL1795117,828,30806,64,"Histone-lysine N-methyltransferase, H3 lysine-79 specific",Homo sapiens
CHEMBL1795126,834,30808,94,"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A",Mus musculus
CHEMBL1795127,835,30811,79,Thymidine kinase,Human herpesvirus 1
CHEMBL1795135,838,30809,74,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
CHEMBL1795138,840,30813,47,Transmembrane protease serine 11D,Homo sapiens
CHEMBL1795139,841,30814,33,Transmembrane protease serine 6,Homo sapiens
CHEMBL1795148,847,30817,32,"Arginase-2, mitochondrial",Homo sapiens
CHEMBL1795165,894,30822,73,Hormonally up-regulated neu tumor-associated kinase,Homo sapiens
CHEMBL1795167,896,30824,58,Toll-like receptor 4,Mus musculus
CHEMBL1795180,907,30830,71,Free fatty acid receptor 1,Rattus norvegicus
CHEMBL1795181,908,30826,30,Thromboxane A2 receptor,Mus musculus
CHEMBL1795186,912,30827,64,Bromodomain-containing protein 3,Homo sapiens
CHEMBL1795190,915,30828,41,"KH domain-containing, RNA-binding, signal transduction-associated protein 1",Homo sapiens
CHEMBL1795192,916,30829,72,Cyclin-dependent kinase 13,Homo sapiens
CHEMBL1798,920,30834,127,Cysteinyl leukotriene receptor 1,Homo sapiens
CHEMBL1800,921,31093,1745,Corticotropin releasing factor receptor 1,Homo sapiens
CHEMBL1801,922,30909,927,Plasminogen,Homo sapiens
CHEMBL1803,923,30835,132,Leukocyte adhesion glycoprotein LFA-1 alpha,Homo sapiens
CHEMBL1804,924,30876,818,Somatostatin receptor 2,Homo sapiens
CHEMBL1805,925,30839,126,Serotonin 1f (5-HT1f) receptor,Homo sapiens
CHEMBL1806,926,30837,92,DNA topoisomerase II alpha,Homo sapiens
CHEMBL1808,927,30872,569,Angiotensin-converting enzyme,Homo sapiens
CHEMBL1809,928,30840,54,Dihydrofolate reductase,Escherichia coli K-12
CHEMBL1811,930,30869,542,Prostanoid EP1 receptor,Homo sapiens
CHEMBL1820,933,30848,114,Thymidine kinase,Human herpesvirus 1 (strain SC16) (HHV-1) (Human herpes simplex virus1)
CHEMBL1821,934,30894,770,Muscarinic acetylcholine receptor M4,Homo sapiens
CHEMBL1822,935,30849,113,Inosine-5'-monophosphate dehydrogenase 1,Homo sapiens
CHEMBL1824,936,31395,2230,Receptor protein-tyrosine kinase erbB-2,Homo sapiens
CHEMBL1825,937,30857,443,TNF-alpha,Homo sapiens
CHEMBL1826,938,30847,33,DNA gyrase subunit B,Escherichia coli K-12
CHEMBL1827,939,31009,1454,Phosphodiesterase 5A,Homo sapiens
CHEMBL1828,940,30853,93,DNA polymerase alpha subunit,Homo sapiens
CHEMBL1829,941,30860,371,Histone deacetylase 3,Homo sapiens
CHEMBL1833,944,30978,1238,Serotonin 2b (5-HT2b) receptor,Homo sapiens
CHEMBL1835,945,30919,923,Thromboxane-A synthase,Homo sapiens
CHEMBL1836,946,30864,429,Prostanoid EP4 receptor,Homo sapiens
CHEMBL1837,947,30854,89,Trypanothione reductase,Trypanosoma brucei brucei
CHEMBL1841,949,30939,1089,Tyrosine-protein kinase FYN,Homo sapiens
CHEMBL1844,950,31042,1608,Macrophage colony stimulating factor  receptor,Homo sapiens
CHEMBL1849,955,30862,154,Enoyl-[acyl-carrier-protein] reductase,Mycobacterium tuberculosis
CHEMBL1850,956,30870,274,Dopamine D5 receptor,Homo sapiens
CHEMBL1853,958,30895,706,Somatostatin receptor 4,Homo sapiens
CHEMBL1854,959,30863,31,Luteinizing hormone/Choriogonadotropin receptor,Homo sapiens
CHEMBL1855,960,31010,1362,Gonadotropin-releasing hormone receptor,Homo sapiens
CHEMBL1856,961,30878,427,Steroid 5-alpha-reductase 2,Homo sapiens
CHEMBL1857,962,30866,96,Enoyl-[acyl-carrier-protein] reductase,Escherichia coli K-12
CHEMBL1859,963,30867,73,Voltage-gated T-type calcium channel alpha-1H subunit,Homo sapiens
CHEMBL1860,964,30890,449,Thyroid hormone receptor alpha,Homo sapiens
CHEMBL1862,965,31075,1739,Tyrosine-protein kinase ABL,Homo sapiens
CHEMBL1864,966,30881,289,Thrombopoietin receptor,Homo sapiens
CHEMBL1865,967,30925,864,Histone deacetylase 6,Homo sapiens
CHEMBL1866,968,30871,67,Voltage-gated potassium channel subunit Kv7.1,Homo sapiens
CHEMBL1867,969,30936,877,Alpha-2a adrenergic receptor,Homo sapiens
CHEMBL1868,970,31084,1671,Vascular endothelial growth factor receptor 1,Homo sapiens
CHEMBL1870,972,30880,133,Retinoid X receptor beta,Homo sapiens
CHEMBL1871,973,31091,1631,Androgen Receptor,Homo sapiens
CHEMBL1873,975,30900,518,Tissue-type plasminogen activator,Homo sapiens
CHEMBL1875,976,30896,412,Serotonin 4 (5-HT4) receptor,Homo sapiens
CHEMBL1878,977,30904,479,Calcium sensing receptor,Homo sapiens
CHEMBL1881,978,30888,300,Prostanoid EP2 receptor,Homo sapiens
CHEMBL1882,979,30887,152,Neuronal acetylcholine receptor protein alpha-4 subunit,Homo sapiens
CHEMBL1886,981,30884,110,"Potassium channel, inwardly rectifying, subfamily J, member 11",Homo sapiens
CHEMBL1889,1017,30942,878,Vasopressin V1a receptor,Homo sapiens
CHEMBL1892,1018,30892,224,Glutamate carboxypeptidase II,Homo sapiens
CHEMBL1898,1020,31002,1236,Serotonin 1b (5-HT1b) receptor,Homo sapiens
CHEMBL1899,1021,30910,477,Serotonin 3a (5-HT3a) receptor,Homo sapiens
CHEMBL1900,1022,30927,671,Aldose reductase,Homo sapiens
CHEMBL1901,1023,30911,455,Cholecystokinin A receptor,Homo sapiens
CHEMBL1902,1024,30915,511,FK506-binding protein 1A,Homo sapiens
CHEMBL1903,1025,30891,95,GABA transporter 1,Homo sapiens
CHEMBL1904,1026,30893,126,Glutamate [NMDA] receptor subunit epsilon 2,Homo sapiens
CHEMBL1906,1027,30913,483,Serine/threonine-protein kinase RAF,Homo sapiens
CHEMBL1907,1028,30907,283,Aminopeptidase N,Homo sapiens
CHEMBL1907587,1029,30897,137,Neuronal acetylcholine receptor; alpha3/beta2,Rattus norvegicus
CHEMBL1907588,1030,30898,134,Acetylcholine receptor; alpha1/beta1/delta/gamma,Homo sapiens
CHEMBL1907589,1031,30969,898,Neuronal acetylcholine receptor; alpha4/beta2,Homo sapiens
CHEMBL1907590,1032,30901,91,Neuronal acetylcholine receptor; alpha2/beta4,Rattus norvegicus
CHEMBL1907591,1033,30902,61,Neuronal acetylcholine receptor; alpha4/beta4,Homo sapiens
CHEMBL1907592,1034,30903,88,Neuronal acetylcholine receptor; alpha2/beta2,Rattus norvegicus
CHEMBL1907593,1035,30908,179,Neuronal acetylcholine receptor; alpha3/beta4,Rattus norvegicus
CHEMBL1907594,1036,30920,505,Neuronal acetylcholine receptor; alpha3/beta4,Homo sapiens
CHEMBL1907595,1037,30905,143,Neuronal acetylcholine receptor; alpha4/beta4,Rattus norvegicus
CHEMBL1907596,1038,31039,1362,Neuronal acetylcholine receptor; alpha4/beta2,Rattus norvegicus
CHEMBL1907598,1040,31056,1425,Integrin alpha-V/beta-3,Homo sapiens
CHEMBL1907599,1041,31011,1203,Integrin alpha-4/beta-1,Homo sapiens
CHEMBL1907600,1042,31017,1292,Cyclin-dependent kinase 5/CDK5 activator 1,Homo sapiens
CHEMBL1907601,1043,30967,768,Cyclin-dependent kinase 4/cyclin D1,Homo sapiens
CHEMBL1907602,1044,30917,334,Cyclin-dependent kinase 1/cyclin B1,Homo sapiens
CHEMBL1907603,1045,30914,202,Glutamate NMDA receptor; GRIN1/GRIN2B,Homo sapiens
CHEMBL1907604,1046,30912,99,Glutamate NMDA receptor; GRIN1/GRIN2A,Homo sapiens
CHEMBL1907605,1047,30918,281,Cyclin-dependent kinase 2/cyclin E1,Homo sapiens
CHEMBL1907606,1048,30916,30,Mitogen-activated protein kinase; ERK1/ERK2,Homo sapiens
CHEMBL1907607,1049,31476,2353,GABA-A receptor; anion channel,Rattus norvegicus
CHEMBL1907608,1050,31498,2414,Glutamate NMDA receptor,Rattus norvegicus
CHEMBL1907609,1051,31004,1075,Muscarinic acetylcholine receptor,Rattus norvegicus
CHEMBL1907610,1052,31635,3083,Adrenergic receptor alpha-1,Rattus norvegicus
CHEMBL1907611,1053,30929,297,Tumour suppressor p53/oncoprotein Mdm2,Homo sapiens
CHEMBL1908,1054,30945,454,Cytochrome P450 11B1,Homo sapiens
CHEMBL1908381,1055,30921,72,Peripheral plasma membrane protein CASK,Homo sapiens
CHEMBL1908382,1056,30922,72,Serine/threonine-protein kinase PRP4 homolog,Homo sapiens
CHEMBL1908383,1057,30923,72,Phosphatidylinositol-4-phosphate 5-kinase type-1 gamma,Homo sapiens
CHEMBL1908384,1058,30924,72,SNF-related serine/threonine-protein kinase,Homo sapiens
CHEMBL1908385,1059,30926,108,Serine/threonine-protein kinase pknB,Mycobacterium tuberculosis
CHEMBL1908386,1060,30928,72,Dual serine/threonine and tyrosine protein kinase,Homo sapiens
CHEMBL1908387,1061,30930,72,Calcium-dependent protein kinase 1,Plasmodium falciparum (isolate 3D7)
CHEMBL1908388,1062,30931,72,Cell division control protein 2 homolog,Plasmodium falciparum (isolate 3D7)
CHEMBL1908389,1063,30932,72,Mitogen-activated protein kinase kinase kinase 12,Homo sapiens
CHEMBL1909044,1065,30933,47,Progesterone receptor,Bos taurus
CHEMBL1909484,1068,30935,94,Sentrin-specific protease 1,Homo sapiens
CHEMBL1909485,1069,30934,48,Glycogen synthase kinase 3 beta,Sus scrofa
CHEMBL1910,1075,30937,57,Adenosine deaminase,Homo sapiens
CHEMBL1913,1077,31038,1243,Platelet-derived growth factor receptor beta,Homo sapiens
CHEMBL1914,1078,31112,1528,Butyrylcholinesterase,Homo sapiens
CHEMBL1914272,1084,30938,38,Scavenger receptor class B member 1,Homo sapiens
CHEMBL1915,1089,30940,83,Tubulin beta-1 chain,Homo sapiens
CHEMBL1916,1090,30974,613,Alpha-2c adrenergic receptor,Homo sapiens
CHEMBL1917,1091,30975,624,Somatostatin receptor 1,Homo sapiens
CHEMBL1918,1092,30948,174,Glutamate receptor ionotropic kainate 1,Homo sapiens
CHEMBL1919,1093,30949,163,Voltage-gated calcium channel alpha2/delta subunit 1,Homo sapiens
CHEMBL1921,1094,30963,404,Vasopressin V1b receptor,Homo sapiens
CHEMBL1921662,1096,30943,31,CAI-1 autoinducer sensor kinase/phosphatase CqsS,Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)
CHEMBL1921664,1098,30944,52,Appetite-regulating hormone,Homo sapiens
CHEMBL1923,1100,30955,91,Histidine-rich protein,Plasmodium falciparum
CHEMBL1926,1102,30986,580,Dihydrofolate reductase,Pneumocystis carinii
CHEMBL1926488,1103,30950,46,Protoporphyrinogen oxidase,Homo sapiens
CHEMBL1929,1145,30960,152,Xanthine dehydrogenase,Homo sapiens
CHEMBL1932895,1148,30956,48,Natural resistance-associated macrophage protein 2,Homo sapiens
CHEMBL1935,1158,30957,45,Aldehyde dehydrogenase,Homo sapiens
CHEMBL1936,1159,31058,1358,Stem cell growth factor receptor,Homo sapiens
CHEMBL1937,1160,30972,435,Histone deacetylase 2,Homo sapiens
CHEMBL1938219,1167,30961,41,Neuropeptides B/W receptor type 1,Mus musculus
CHEMBL1939,1172,30965,145,Dihydrofolate reductase,Plasmodium falciparum K1
CHEMBL1940,1173,30964,104,Voltage-gated L-type calcium channel alpha-1C subunit,Homo sapiens
CHEMBL1941,1174,30988,534,Histamine H2 receptor,Homo sapiens
CHEMBL1942,1175,30981,520,Alpha-2b adrenergic receptor,Homo sapiens
CHEMBL1943,1176,30966,53,HLA class II histocompatibility antigen DRB1-1,Homo sapiens
CHEMBL1944,1177,30983,411,Neprilysin,Homo sapiens
