flow,rows_id,fold
ada,fri_c4_1000_25_task-3589,1
ada,veteran_task-3585,2
ada,fri_c2_100_10_task-3628,3
ada,hill-valley_task-9970,4
ada,fri_c2_100_5_task-3592,5
ada,spectrometer_task-3817,6
ada,servo_task-3613,7
ada,monks-problems-3_task-3494,8
ada,visualizing_soil_task-3786,9
ada,arsenic-male-lung_task-3814,10
ada,vertebra-column_task-9940,1
ada,analcatdata_challenger_task-3876,2
ada,scene_task-3485,3
ada,PizzaCutter3_task-7549,4
ada,vehicle_task-3857,5
ada,disclosure_z_task-3794,6
ada,triazines_task-3653,7
ada,Australian_task-3019,8
ada,molecular-biology_promoters_task-2373,9
ada,pc4_task-3902,10
ada,PieChart3_task-10099,1
ada,disclosure_x_tampered_task-3660,2
ada,vinnie_task-3724,3
ada,balance-scale_task-3860,4
ada,fri_c0_100_10_task-3673,5
ada,fri_c2_250_10_task-3695,6
ada,lsvt_task-9975,7
ada,fri_c0_500_5_task-3747,8
ada,fertility_task-9984,9
ada,PieChart2_task-10098,10
ada,fri_c0_1000_25_task-3714,1
ada,fri_c0_1000_50_task-3767,2
ada,ar4_task-3911,3
ada,mc2_task-3905,4
ada,iris_task-3832,5
ada,houses_task-3688,6
ada,eeg-eye-state_task-9983,7
ada,kr-vs-kp_task-3,8
ada,fri_c3_500_50_task-3800,9
ada,fruitfly_task-3580,10
ada,fri_c3_1000_50_task-3671,1
ada,ar6_task-3914,2
ada,mfeat-morphological_task-3825,3
ada,autoPrice_task-3622,4
ada,mv_task-3745,5
ada,yeast_ml8_task-3488,6
ada,fri_c1_1000_50_task-3702,7
ada,wisconsin_task-3619,8
ada,boston_task-3736,9
ada,pol_task-3588,10
ada,analcatdata_boxing1_task-3540,1
ada,glass_task-3868,2
ada,space_ga_task-3603,3
ada,sa-heart_task-9961,4
ada,pc2_task-3919,5
ada,MegaWatt1_task-7547,6
ada,banana_task-10091,7
ada,tae_task-3818,8
ada,housing_task-3718,9
ada,pollen_task-3735,10
ada,PizzaCutter1_task-7548,1
ada,rabe_266_task-3647,2
ada,kc1_task-3917,3
ada,jEdit_4.0_4.2_task-3921,4
ada,kc2_task-3913,5
ada,twonorm_task-9943,6
ada,fri_c3_250_50_task-3737,7
ada,MegaWatt1_task-7556,8
ada,cpu_task-3661,9
ada,fri_c3_1000_10_task-3606,10
ada,badges2_task-3955,1
ada,fri_c0_500_25_task-3789,2
ada,SPECT_task-3495,3
ada,fri_c2_500_25_task-3743,4
ada,segment_task-3821,5
ada,mfeat-karhunen_task-3883,6
ada,fri_c3_100_25_task-3634,7
ada,kdd_JapaneseVowels_task-3839,8
ada,visualizing_environmental_task-3602,9
ada,fri_c2_1000_10_task-3776,10
ada,fri_c2_1000_5_task-3775,1
ada,cal_housing_task-3687,2
ada,optdigits_task-3843,3
ada,fri_c1_1000_10_task-3773,4
ada,analcatdata_chlamydia_task-3739,5
ada,chscase_funds_task-3666,6
ada,prnn_synth_task-3555,7
ada,chscase_census3_task-3771,8
ada,ecoli_task-3874,9
ada,chscase_census6_task-3763,10
ada,fri_c2_1000_50_task-3730,1
ada,analcatdata_supreme_task-3594,2
ada,fri_c1_500_50_task-3632,3
ada,fri_c4_100_25_task-3732,4
ada,arsenic-female-lung_task-3813,5
ada,fri_c2_500_5_task-3657,6
ada,strikes_task-3636,7
ada,kc1-top5_task-3898,8
ada,mfeat-pixel_task-3885,9
ada,fri_c4_100_100_task-3693,10
ada,BNG(breast-w)_task-2142,1
ada,elevators_task-3711,2
ada,house_8L_task-3708,3
ada,waveform-5000_task-3842,4
ada,fri_c1_100_5_task-3694,5
ada,analcatdata_michiganacc_task-3637,6
ada,bodyfat_task-3644,7
ada,lowbwt_task-3804,8
ada,car_task-3854,9
ada,cpu_act_task-3627,10
ada,analcatdata_lawsuit_task-3542,1
ada,fri_c4_250_25_task-3796,2
ada,visualizing_livestock_task-3731,3
ada,fri_c2_250_25_task-3659,4
ada,analcatdata_authorship_task-3833,5
ada,arsenic-female-bladder_task-3812,6
ada,fri_c0_100_50_task-3715,7
ada,fri_c1_250_25_task-3612,8
ada,analcatdata_vineyard_task-3590,9
ada,fri_c1_100_25_task-3677,10
ada,parkinsons_task-9951,1
ada,fri_c4_100_10_task-3742,2
ada,fri_c0_1000_5_task-3664,3
ada,delta_elevators_task-3684,4
ada,fri_c3_100_50_task-3582,5
ada,visualizing_galaxy_task-3788,6
ada,fri_c1_250_5_task-3596,7
ada,molecular-biology_promoters_task-3819,8
ada,fri_c1_100_10_task-3654,9
ada,bank-marketing_task-9899,10
ada,fri_c3_1000_5_task-3678,1
ada,chscase_census5_task-3769,2
ada,house_16H_task-3686,3
ada,transplant_task-3748,4
ada,fri_c4_500_10_task-3720,5
ada,PizzaCutter3_task-7559,6
ada,fri_c2_250_50_task-3741,7
ada,wind_task-3712,8
ada,fri_c0_250_5_task-3642,9
ada,puma32H_task-3618,10
ada,letter_task-3840,1
ada,fri_c2_100_50_task-3785,2
ada,fri_c3_100_10_task-3648,3
ada,pc1_req_task-4001,4
ada,fried_task-3764,5
ada,socmob_task-3797,6
ada,monks-problems-1_task-3492,7
ada,haberman_task-42,8
ada,diabetes_task-37,9
ada,fri_c4_100_50_task-3795,10
ada,datatrieve_task-3923,1
ada,ar1_task-3909,2
ada,wilt_task-9889,3
ada,mu284_task-3744,4
ada,mc1_task-3907,5
ada,no2_task-3749,6
ada,kin8nm_task-3672,7
ada,diggle_table_a2_task-3683,8
ada,fri_c0_500_50_task-3751,9
ada,fri_c4_500_25_task-3703,10
ada,wdbc_task-9946,1
ada,acute-inflammations_task-9901,2
ada,pc1_task-3918,3
ada,fri_c2_500_10_task-3733,4
ada,fri_c1_500_10_task-3689,5
ada,2dplanes_task-3593,6
ada,analcatdata_apnea3_task-3630,7
ada,fri_c0_250_50_task-3598,8
ada,sleuth_case2002_task-3765,9
ada,fri_c1_250_50_task-3635,10
ada,lymph_task-3869,1
ada,backache_task-3554,2
ada,phoneme_task-9952,3
ada,collins_task-3850,4
ada,rmftsa_sleepdata_task-3607,5
ada,fri_c1_500_25_task-3645,6
ada,plasma_retinol_task-3778,7
ada,analcatdata_apnea1_task-3633,8
ada,page-blocks_task-3884,9
ada,chscase_vine2_task-3679,10
ada,wilt_task-9914,1
ada,fri_c0_100_5_task-3620,2
ada,rmftsa_ctoarrivals_task-3676,3
ada,mw1_task-3920,4
ada,puma8NH_task-3681,5
ada,hayes-roth_task-3837,6
ada,oil_spill_task-3484,7
ada,credit-g_task-31,8
ada,splice_task-3816,9
ada,analcatdata_dmft_task-3877,10
ada,ilpd_task-9971,1
ada,ailerons_task-3600,2
ada,MagicTelescope_task-3954,3
ada,PizzaCutter1_task-7558,4
ada,sonar_task-39,5
ada,cpu_small_task-3601,6
ada,fri_c0_100_25_task-3752,7
ada,cmc_task-3846,8
ada,blogger_task-10094,9
ada,tecator_task-3716,10
ada,mfeat-zernike_task-3858,1
ada,autoUniv-au1-1000_task-9909,2
ada,fri_c3_250_25_task-3697,3
ada,wholesale-customers_task-9991,4
ada,wine_task-3836,5
ada,nursery_task-3822,6
ada,thoracic-surgery_task-9969,7
ada,fri_c2_500_50_task-3783,8
ada,sensory_task-3691,9
ada,cloud_task-3753,10
ada,prnn_fglass_task-3859,1
ada,quake_task-3638,2
ada,delta_ailerons_task-3668,3
ada,steel-plates-fault_task-9967,4
ada,fri_c2_100_25_task-3641,5
ada,heart-statlog_task-52,6
ada,fri_c2_250_5_task-3774,7
ada,CostaMadre1_task-7557,8
ada,spambase_task-43,9
ada,newton_hema_task-3649,10
ada,fri_c0_1000_10_task-3710,1
ada,dresses-sales_task-9982,2
ada,pc3_task-3903,3
ada,ozone-level-8hr_task-9978,4
ada,ionosphere_task-57,5
ada,flags_task-3875,6
ada,electricity_task-219,7
ada,Click_prediction_small_task-7295,8
ada,mfeat-fourier_task-3834,9
ada,analcatdata_neavote_task-3729,10
ada,tic-tac-toe_task-49,1
ada,PieChart4_task-10100,2
ada,monks-problems-2_task-3493,3
ada,PieChart1_task-10097,4
ada,mozilla4_task-3899,5
ada,qualitative-bankruptcy_task-9958,6
ada,ringnorm_task-9959,7
ada,SPECTF_task-3496,8
ada,mammography_task-3483,9
ada,machine_cpu_task-3599,10
ada,analcatdata_boxing2_task-3538,1
ada,rmftsa_ladata_task-3583,2
ada,zoo_task-3828,3
ada,fri_c4_1000_100_task-3584,4
ada,fri_c0_250_10_task-3629,5
ada,fri_c3_500_5_task-3615,6
ada,fri_c4_250_50_task-3781,7
ada,analcatdata_germangss_task-3887,8
ada,fri_c4_250_100_task-3699,9
avNNet,analcatdata_seropositive_task-3784,1
avNNet,ringnorm_task-9959,2
avNNet,fri_c1_250_50_task-3635,3
avNNet,kdd_JapaneseVowels_task-3839,4
avNNet,yeast_ml8_task-3488,5
avNNet,iris_task-59,6
avNNet,fertility_task-9984,7
avNNet,fri_c2_1000_25_task-3766,8
avNNet,eye_movements_task-3897,9
avNNet,volcanoes-d4_task-9923,10
avNNet,analcatdata_wildcat_task-3614,1
avNNet,mozilla4_task-3899,2
avNNet,PizzaCutter1_task-7558,3
avNNet,servo_task-3613,4
avNNet,analcatdata_supreme_task-3594,5
avNNet,fri_c0_250_50_task-3598,6
avNNet,analcatdata_lawsuit_task-3542,7
avNNet,wisconsin_task-3619,8
avNNet,one-hundred-plants-texture_task-9956,9
avNNet,monks-problems-1_task-3492,10
avNNet,fri_c2_250_50_task-3741,1
avNNet,credit-g_task-31,2
avNNet,volcanoes-e4_task-9918,3
avNNet,fri_c1_1000_10_task-3773,4
avNNet,spectrometer_task-3817,5
avNNet,pc4_task-3902,6
avNNet,vehicle_task-53,7
avNNet,teachingAssistant_task-3949,8
avNNet,prnn_crabs_task-3539,9
avNNet,fri_c4_250_100_task-3699,10
avNNet,pc2_task-3919,1
avNNet,fri_c4_100_25_task-3732,2
avNNet,ar1_task-3909,3
avNNet,prnn_fglass_task-3815,4
avNNet,diabetes_task-37,5
avNNet,user-knowledge_task-9944,6
avNNet,anneal_task-2867,7
avNNet,balance-scale_task-3860,8
avNNet,fri_c3_100_10_task-3648,9
avNNet,kr-vs-k_task-9972,10
avNNet,chscase_geyser1_task-3758,1
avNNet,planning-relax_task-9953,2
avNNet,houses_task-3688,3
avNNet,waveform-5000_task-3842,4
avNNet,fri_c2_500_50_task-3783,5
avNNet,autoUniv-au6-1000_task-9902,6
avNNet,JapaneseVowels_task-3510,7
avNNet,arsenic-male-lung_task-3814,8
avNNet,waveform-5000_task-58,9
avNNet,autoUniv-au4-2500_task-9908,10
avNNet,anneal_task-1,1
avNNet,autoUniv-au6-750_task-9904,2
avNNet,fri_c4_500_50_task-3670,3
avNNet,fri_c2_100_50_task-3785,4
avNNet,mfeat-fourier_task-3834,5
avNNet,fri_c0_500_25_task-3789,6
avNNet,puma32H_task-3618,7
avNNet,wall-robot-navigation_task-9960,8
avNNet,chscase_census3_task-3771,9
avNNet,breast-tissue_task-10095,10
avNNet,fri_c2_500_10_task-3733,1
avNNet,chscase_census5_task-3769,2
avNNet,fri_c0_100_50_task-3715,3
avNNet,analcatdata_authorship_task-3549,4
avNNet,chscase_vine2_task-3679,5
avNNet,balance-scale_task-11,6
avNNet,tamilnadu-electricity_task-9968,7
avNNet,segment_task-36,8
avNNet,analcatdata_michiganacc_task-3637,9
avNNet,CastMetal1_task-10096,10
avNNet,ar6_task-3914,1
avNNet,kr-vs-kp_task-3,2
avNNet,one-hundred-plants-margin_task-9954,3
avNNet,volcanoes-c1_task-9933,4
avNNet,ada_agnostic_task-3896,5
avNNet,kc1_task-3917,6
avNNet,volcanoes-b2_task-9928,7
avNNet,pwLinear_task-3587,8
avNNet,mfeat-zernike_task-3858,9
avNNet,diggle_table_a2_task-3578,10
avNNet,volcanoes-e2_task-9916,1
avNNet,analcatdata_creditscore_task-3552,2
avNNet,vinnie_task-3724,3
avNNet,vowel_task-3022,4
avNNet,newton_hema_task-3649,5
avNNet,volcanoes-a4_task-9926,6
avNNet,vehicle_task-3857,7
avNNet,fri_c0_500_50_task-3751,8
avNNet,analcatdata_apnea2_task-3631,9
avNNet,arsenic-male-bladder_task-3810,10
avNNet,robot-failures-lp5_task-9938,1
avNNet,MegaWatt1_task-7547,2
avNNet,kc1-binary_task-3916,3
avNNet,robot-failures-lp4_task-9937,4
avNNet,fri_c1_1000_50_task-3702,5
avNNet,veteran_task-3585,6
avNNet,mfeat-karhunen_task-16,7
avNNet,delta_elevators_task-3684,8
avNNet,bodyfat_task-3644,9
avNNet,synthetic_control_task-3512,10
avNNet,cal_housing_task-3687,1
avNNet,fri_c1_1000_5_task-3609,2
avNNet,pc1_task-3918,3
avNNet,prnn_fglass_task-3859,4
avNNet,fri_c2_250_5_task-3774,5
avNNet,wilt_task-9914,6
avNNet,monks-problems-2_task-3493,7
avNNet,analcatdata_apnea3_task-3630,8
avNNet,mfeat-fourier_task-14,9
avNNet,SPECTF_task-3496,10
avNNet,splice_task-45,1
avNNet,fri_c4_500_10_task-3720,2
avNNet,volcanoes-b5_task-9931,3
avNNet,acute-inflammations_task-10089,4
avNNet,fri_c3_100_50_task-3582,5
avNNet,banknote-authentication_task-10093,6
avNNet,fri_c2_1000_5_task-3775,7
avNNet,fri_c4_250_10_task-3727,8
avNNet,wall-robot-navigation_task-9942,9
avNNet,wall-robot-navigation_task-9941,10
avNNet,sensory_task-3691,1
avNNet,cloud_task-3753,2
avNNet,fri_c4_500_100_task-3608,3
avNNet,collins_task-3567,4
avNNet,hill-valley_task-9893,5
avNNet,analcatdata_dmft_task-3877,6
avNNet,letter_task-3840,7
avNNet,fri_c0_250_10_task-3629,8
avNNet,transplant_task-3748,9
avNNet,pm10_task-3616,10
avNNet,quake_task-3811,1
avNNet,seismic-bumps_task-9963,2
avNNet,abalone_task-3586,3
avNNet,badges2_task-3955,4
avNNet,lymph_task-10,5
avNNet,analcatdata_germangss_task-3564,6
avNNet,energy-efficiency_task-9990,7
avNNet,visualizing_livestock_task-3577,8
avNNet,mc1_task-3907,9
avNNet,prnn_synth_task-3555,10
avNNet,volcanoes-e5_task-9919,1
avNNet,housing_task-3718,2
avNNet,zoo_task-3828,3
avNNet,pc3_task-3903,4
avNNet,one-hundred-plants-shape_task-9955,5
avNNet,puma8NH_task-3681,6
avNNet,fri_c0_100_10_task-3673,7
avNNet,climate-model-simulation-crashes_task-9980,8
avNNet,chatfield_4_task-3685,9
avNNet,wilt_task-9889,10
avNNet,qsar-biodeg_task-9957,1
avNNet,chess_task-3952,2
avNNet,molecular-biology_promoters_task-3819,3
avNNet,autoUniv-au7-1100_task-9906,4
avNNet,visualizing_soil_task-3786,5
avNNet,heart-long-beach_task-9947,6
avNNet,jEdit_4.0_4.2_task-3921,7
avNNet,dresses-sales_task-9982,8
avNNet,hill-valley_task-9970,9
avNNet,SPECT_task-3495,10
avNNet,abalone_task-9900,1
avNNet,ecoli_task-3874,2
avNNet,autoUniv-au7-500_task-9903,3
avNNet,mc2_task-3905,4
avNNet,datatrieve_task-3923,5
avNNet,chscase_funds_task-3666,6
avNNet,car_task-3854,7
avNNet,first-order-theorem-proving_task-9985,8
avNNet,autoUniv-au7-700_task-9905,9
avNNet,mfeat-zernike_task-22,10
avNNet,fruitfly_task-3580,1
avNNet,volcanoes-d2_task-9921,2
avNNet,PizzaCutter3_task-7559,3
avNNet,optdigits_task-28,4
avNNet,visualizing_livestock_task-3731,5
avNNet,collins_task-3850,6
avNNet,stock_task-3706,7
avNNet,nursery_task-26,8
avNNet,fri_c1_100_5_task-3694,9
avNNet,scene_task-3485,10
avNNet,kc3_task-3915,1
avNNet,boston_task-3736,2
avNNet,tecator_task-3716,3
avNNet,autoUniv-au1-1000_task-9909,4
avNNet,fri_c1_100_50_task-3740,5
avNNet,fri_c0_500_10_task-3806,6
avNNet,mfeat-morphological_task-18,7
avNNet,fri_c0_1000_10_task-3710,8
avNNet,fri_c2_100_5_task-3592,9
avNNet,heart-switzerland_task-9948,10
avNNet,heart-statlog_task-52,1
avNNet,disclosure_z_task-3794,2
avNNet,arsenic-female-lung_task-3813,3
avNNet,mfeat-factors_task-12,4
avNNet,analcatdata_chlamydia_task-3739,5
avNNet,no2_task-3749,6
avNNet,analcatdata_apnea1_task-3633,7
avNNet,haberman_task-42,8
avNNet,mfeat-factors_task-3841,9
avNNet,BNG(breast-w)_task-2142,10
avNNet,mw1_task-3920,1
avNNet,BNG(cmc)_task-2146,2
avNNet,PieChart2_task-10098,3
avNNet,semeion_task-9964,4
avNNet,MagicTelescope_task-3954,5
avNNet,wind_task-3712,6
avNNet,volcanoes-a1_task-10103,7
avNNet,rmftsa_sleepdata_task-3574,8
avNNet,fri_c2_250_25_task-3659,9
avNNet,fri_c4_1000_25_task-3589,10
avNNet,fri_c4_250_50_task-3781,1
avNNet,strikes_task-3636,2
avNNet,kdd_synthetic_control_task-3867,3
avNNet,PieChart3_task-10099,4
avNNet,seeds_task-9962,5
avNNet,breast-tissue_task-9897,6
avNNet,blood-transfusion-service-center_task-10101,7
avNNet,plasma_retinol_task-3778,8
avNNet,rmftsa_ladata_task-3583,9
avNNet,nursery_task-3822,10
avNNet,eeg-eye-state_task-9983,1
avNNet,Australian_task-3019,2
avNNet,humandevel_task-3787,3
avNNet,fried_task-3764,4
avNNet,fri_c2_250_10_task-3695,5
avNNet,kc2_task-3913,6
avNNet,fri_c3_500_50_task-3800,7
avNNet,backache_task-3554,8
avNNet,cpu_small_task-3601,9
avNNet,page-blocks_task-30,10
avNNet,ionosphere_task-57,1
avNNet,pollen_task-3735,2
avNNet,fri_c4_100_100_task-3693,3
avNNet,PieChart1_task-10097,4
avNNet,volcanoes-b1_task-9927,5
avNNet,energy-efficiency_task-9989,6
avNNet,fri_c1_1000_25_task-3780,7
avNNet,fri_c3_250_10_task-3658,8
avNNet,vowel_task-3879,9
avNNet,ilpd_task-9971,10
avNNet,volcanoes-b3_task-9929,1
avNNet,MegaWatt1_task-7556,2
avNNet,elevators_task-3711,3
avNNet,zoo_task-60,4
avNNet,wholesale-customers_task-9988,5
avNNet,heart-h_task-9894,6
avNNet,fri_c3_100_5_task-3779,7
avNNet,fri_c1_250_25_task-3612,8
avNNet,fri_c2_1000_10_task-3776,9
avNNet,wine_task-2382,10
avNNet,visualizing_galaxy_task-3788,1
avNNet,fri_c4_1000_10_task-3617,2
avNNet,page-blocks_task-3884,3
avNNet,fri_c0_250_25_task-3639,4
avNNet,Smartphone-Based_Recognition_of_Human_Activities_task-10104,5
avNNet,thoracic-surgery_task-9969,6
avNNet,ozone-level-8hr_task-9978,7
avNNet,arsenic-female-bladder_task-3812,8
avNNet,hayes-roth_task-3491,9
avNNet,fri_c3_100_25_task-3634,10
avNNet,chscase_census6_task-3763,1
avNNet,fri_c2_500_25_task-3743,2
avNNet,PizzaCutter1_task-7548,3
avNNet,fri_c0_1000_5_task-3664,4
avNNet,yeast_task-2073,5
avNNet,fri_c2_1000_50_task-3730,6
avNNet,twonorm_task-9943,7
avNNet,molecular-biology_promoters_task-2373,8
avNNet,fri_c2_100_10_task-3628,9
avNNet,pendigits_task-3882,10
avNNet,fri_c2_500_5_task-3657,1
avNNet,monks-problems-3_task-3494,2
avNNet,analcatdata_boxing2_task-3538,3
avNNet,cpu_act_task-3627,4
avNNet,CostaMadre1_task-7557,5
avNNet,spambase_task-43,6
avNNet,pendigits_task-32,7
avNNet,fri_c3_250_25_task-3697,8
avNNet,volcanoes-d3_task-9922,9
avNNet,jEdit_4.2_4.3_task-3901,10
avNNet,house_8L_task-3708,1
avNNet,fri_c4_100_50_task-3795,2
avNNet,iris_task-7555,3
avNNet,fri_c0_100_5_task-3620,4
avNNet,balloon_task-3777,5
avNNet,cmc_task-23,6
avNNet,autoPrice_task-3622,7
avNNet,optdigits_task-3843,8
avNNet,flags_task-3018,9
avNNet,grub-damage_task-3888,10
avNNet,fri_c3_250_5_task-3610,1
avNNet,steel-plates-fault_task-9967,2
avNNet,blogger_task-10094,3
avNNet,house_16H_task-3686,4
avNNet,fri_c1_100_25_task-3677,5
avNNet,rabe_266_task-3647,6
avNNet,2dplanes_task-3593,7
avNNet,fri_c0_250_5_task-3642,8
avNNet,parkinsons_task-9951,9
avNNet,glass_task-3868,10
avNNet,satimage_task-2074,1
avNNet,hayes-roth_task-3837,2
avNNet,lowbwt_task-3804,3
avNNet,cmc_task-3846,4
avNNet,fri_c1_500_5_task-3734,5
avNNet,socmob_task-3797,6
avNNet,PizzaCutter3_task-7549,7
avNNet,sa-heart_task-9961,8
avNNet,machine_cpu_task-3599,9
avNNet,cpu_task-3661,10
avNNet,pc1_req_task-4001,1
avNNet,phoneme_task-9952,2
avNNet,fri_c1_100_10_task-3654,3
avNNet,kc1-top5_task-3898,4
avNNet,fri_c4_1000_100_task-3584,5
avNNet,cardiotocography_task-9979,6
avNNet,analcatdata_germangss_task-3887,7
avNNet,fri_c4_100_10_task-3742,8
avNNet,fri_c1_500_50_task-3632,9
avNNet,bank32nh_task-3698,10
avNNet,fri_c0_1000_25_task-3714,1
avNNet,fri_c3_1000_10_task-3606,2
avNNet,flags_task-3875,3
avNNet,triazines_task-3653,4
avNNet,bank8FM_task-3591,5
avNNet,delta_ailerons_task-3668,6
avNNet,volcanoes-e3_task-9917,7
avNNet,ecoli_task-38,8
avNNet,fri_c1_500_25_task-3645,9
avNNet,lsvt_task-9975,10
avNNet,fri_c4_1000_50_task-3662,1
avNNet,autoUniv-au6-400_task-9907,2
avNNet,wdbc_task-9946,3
avNNet,analcatdata_boxing1_task-3540,4
avNNet,visualizing_environmental_task-3602,5
avNNet,tic-tac-toe_task-49,6
avNNet,iris_task-3832,7
avNNet,mv_task-3745,8
avNNet,fri_c0_500_5_task-3747,9
avNNet,lymph_task-3869,10
avNNet,analcatdata_challenger_task-3876,1
avNNet,ailerons_task-3600,2
avNNet,leaf_task-9973,3
avNNet,volcanoes-d1_task-9920,4
avNNet,electricity_task-219,5
avNNet,mammography_task-3483,6
avNNet,banana_task-10091,7
avNNet,mu284_task-3744,8
avNNet,analcatdata_dmft_task-3560,9
avNNet,quake_task-3638,10
avNNet,fri_c0_1000_50_task-3767,1
avNNet,analcatdata_vineyard_task-3590,2
avNNet,volcanoes-a2_task-9924,3
avNNet,vertebra-column_task-9939,4
avNNet,disclosure_x_noise_task-3692,5
avNNet,volcanoes-e1_task-9915,6
avNNet,analcatdata_neavote_task-3729,7
avNNet,ar4_task-3911,8
avNNet,glass_task-40,9
avNNet,mfeat-karhunen_task-3883,10
avNNet,grub-damage_task-3497,1
avNNet,sleuth_case2002_task-3765,2
avNNet,auto_price_task-3611,3
avNNet,qualitative-bankruptcy_task-9958,4
avNNet,fri_c3_500_25_task-3759,5
avNNet,chscase_census2_task-3772,6
avNNet,mfeat-morphological_task-3825,7
avNNet,fri_c4_500_25_task-3703,8
avNNet,wholesale-customers_task-9991,9
avNNet,volcanoes-b6_task-9932,10
avNNet,oil_spill_task-3484,1
avNNet,pol_task-3588,2
avNNet,rmftsa_ctoarrivals_task-3676,3
avNNet,kin8nm_task-3672,4
avNNet,nursery_task-9892,5
avNNet,fri_c1_250_10_task-3798,6
avNNet,fri_c1_500_10_task-3689,7
avNNet,acute-inflammations_task-9901,8
avNNet,cardiotocography_task-9898,9
avNNet,iris_task-7306,10
avNNet,car_task-21,1
avNNet,volcanoes-a3_task-9925,2
avNNet,space_ga_task-3603,3
avNNet,splice_task-3816,4
avNNet,BNG(tic-tac-toe)_task-206,5
avNNet,fri_c0_100_25_task-3752,6
avNNet,PopularKids_task-3937,7
avNNet,tae_task-3818,8
avNNet,chscase_census4_task-3770,9
avNNet,boston_corrected_task-3690,10
avNNet,sonar_task-39,1
avNNet,diggle_table_a2_task-3683,2
avNNet,rmftsa_sleepdata_task-3607,3
avNNet,bank-marketing_task-9899,4
avNNet,abalone_task-2075,5
avNNet,wine_task-3836,6
avNNet,disclosure_x_bias_task-3640,7
avNNet,fri_c1_250_5_task-3596,8
avNNet,segment_task-3821,9
avNNet,fri_c2_100_25_task-3641,10
avNNet,fri_c3_500_10_task-3799,1
avNNet,analcatdata_authorship_task-3833,2
avNNet,kropt_task-2076,3
avNNet,vertebra-column_task-9940,4
avNNet,tae_task-47,5
avNNet,spectrometer_task-3486,6
avNNet,volcanoes-b4_task-9930,7
avNNet,fri_c3_500_5_task-3615,8
avNNet,PieChart4_task-10100,9
avNNet,Click_prediction_small_task-7295,10
avNNet,fri_c3_1000_50_task-3671,1
avNNet,disclosure_x_tampered_task-3660,2
avNNet,fri_c3_250_50_task-3737,3
avNNet,fri_c4_250_25_task-3796,4
avNNet,fri_c3_1000_5_task-3678,5
avNNet,fri_c3_1000_25_task-3581,6
bartMachine,chscase_census5_task-3769,1
bartMachine,zoo_task-3828,2
bartMachine,plasma_retinol_task-3778,3
bartMachine,fri_c1_100_50_task-3740,4
bartMachine,visualizing_galaxy_task-3788,5
bartMachine,ionosphere_task-57,6
bartMachine,fri_c3_250_10_task-3658,7
bartMachine,SPECTF_task-3496,8
bartMachine,qualitative-bankruptcy_task-9958,9
bartMachine,fri_c3_100_10_task-3648,10
bartMachine,analcatdata_chlamydia_task-3739,1
bartMachine,kc1-binary_task-3916,2
bartMachine,fri_c3_250_50_task-3737,3
bartMachine,fri_c2_1000_5_task-3775,4
bartMachine,fri_c0_100_10_task-3673,5
bartMachine,fri_c1_500_5_task-3734,6
bartMachine,chscase_census3_task-3771,7
bartMachine,MegaWatt1_task-7547,8
bartMachine,diabetes_task-37,9
bartMachine,vinnie_task-3724,10
